Symbol,Name,Market Capitalization Performance,Market Capitalization Performance % 1Y,P/E,"P/E/Growth, Trading 12M",P/S,P/B,P/CF,P/FCF,P/Cash,EV,EV/Revenue TTM,EV/EBIT TTM,EV/EBITDA TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,,,,
PHPMF1,PHP First Mutual Fund Units 2010-,761111775.0,-6.666666666666667,,,,,,,,,,,
PIONEERINS,Pioneer Insurance PLC,4987872528.0,16.14350002470241,11.435260219701062,,2.5252748802495373,1.087498223182037,12.470072072061626,12.933256085758552,,4987872528.0,2.6337223247716364,,
PLFSL,Peoples Leasing and Financial Services Ltd.,856321747.0,-8.33333497553143,,,21.03853687457634,,,,,4393845331.0,115.6608890518482,,
POPULAR1MF,Popular Life First Mutual Fund Units 2010-,,,,,,,,,,,,,
POPULARLIF,Popular Life Insurance Co. Ltd.,2858261381.0,-8.464565560243626,3.77617576381737,,0.5099384287418033,0.8971578305471808,1.965444722730158,1.9958550435345004,,2907306505.0,0.5368482823512177,,
POWERGRID,Power Grid Co. of Bangladesh Ltd.,27140068800.0,-11.849707096293002,24.356354720065386,,0.8194084435729514,27.366313720808503,1.5644231224468201,,0.8619525424575216,664370497702.0,20.472143086792524,62.23903646961421,27.333770674790202
PRAGATIINS,Pragati Insurance PLC,5582515313.0,42.66664344615612,13.472798590188162,6.241862431236597,3.3760107042612937,1.2597613788699569,37.42333540281351,42.61783244949243,,5582517113.0,3.5674871039826423,,
PRAGATILIF,Pragati Life Insurance PLC,6844274184.0,92.15867171740804,6.321105143770154,0.012349487443712781,0.9119691077030259,17.54259622332502,9.383527497911421,11.618847339517664,,6844274184.0,1.0030706414502066,,
PREMIERBAN,The Premier Bank PLC,6537185343.0,-38.88888888738751,,,0.18499460219803998,0.33442516958142976,1.1703965473343234,1.2513101725242937,,10432536506.000004,0.29522844150767985,,
PREMIERCEM,Premier Cement Mills PLC,3827834809.0,-16.55773863694189,33.24670669414822,,0.16397101155526442,0.5824441901506019,6.8830576649556825,,2.6887979538882587,28701347688.0,1.2062048142198052,8.532703376279752,6.699781068438478
PREMIERLEA,Premier Leasing & Finance Limited,412207606.0,-31.428568702780385,,,1.1232768180645987,,0.16702436415861271,0.16719615990785333,0.19674577711970417,6672224743.000001,19.43592031973366,,
PRIME1ICBA,Prime Bank 1st ICB AMCL Mutual Fund Units,,,,,,,,,,,,,
PRIMEBANK,Prime Bank PLC,35978307861.0,33.62348713984314,4.116550679163817,0.10554807219225308,0.6284602888240375,0.7907976907677075,2.1861831259005426,2.3957975508565963,,109082144471.99998,2.0091166029944607,,
PRIMEFIN,Prime Finance and Investment Ltd.,1391873988.0,13.636361172164102,,,,,,,,,,,
PRIMEINSUR,Prime Islami Insurance PLC,1267202339.0,-4.687499983277014,16.15356374888551,,1.5064381173357466,1.3487245576030187,,,,1267202339.0,1.5514809963126341,,
PRIMELIFE,Prime Life Insurance Company Limited,1046843908.0,-2.95857992410317,,,0.24821674253486997,9.839282271144533,32.770505028726014,41.8036823723432,,1290568802.0,0.3142519384228062,,
PRIMETEX,Prime Textile Spining Mills Ltd.,699060000.0,,,,,,,,,,,,
PROGRESLIF,Progressive Life Insurance Co. Ltd.,702343040.0,,,,,,,,,,,,
PROVATIINS,Provati Insurance PLC,1213398343.0,-5.828214137957164,20.00933769092243,,1.7959337914025595,1.382059849641102,,,,1241825485.0,1.8946593622278132,,
PTL,Paramount Textile PLC,9242431642.0,9.93657682264577,7.9344804267788716,0.4973671613616199,0.7504127759538237,1.2008771861991918,3.7714148612200975,16.02059428699629,11.409283027794576,32843061571.0,2.6926904090092623,14.230870930181329,
PUBALIBANK,Pubali Bank PLC,49324381454.0,41.395540433515364,5.916970511098318,,0.45765340404762467,0.6369000251145172,0.9182396359924808,0.9791326071346108,,70965359209.0,0.6818354518877885,,
PURABIGEN,Purabi General Insurance Co. Ltd.,1184287500.0,,13.832774087516263,,5.611696687889067,1.38860246098852,14.595016451233374,15.466254109612889,,1190965040.0,5.7895377473556,,
QUASEMIND,Quasem Industries Limited.,3352766147.0,47.58916439899488,32.71826413804886,0.18527778819561644,2.2095362950743813,1.5569194296227702,48.16331824046443,59.298244457727016,199.04683733031877,4406731716.0,2.990458421598708,27.65700363215615,
QUEENSOUTH,Queen South Textile Mills Ltd.,1754916565.0,-11.67882813169857,71.03490508266994,,0.40698998772744177,0.7270411680793828,7.045760165558359,8.281192488707006,39.742464282106866,4013600636.0,0.9308107983736934,13.313184339311274,10.087599274656085
RAHIMAFOOD,Rahima Food Corporation Ltd.,2302022801.0,37.05463864237432,411.06719367588937,,38.062953094825964,12.312103206420375,88.3432713371578,88.34327815923486,51.027456556063825,2257183747.0,38.15018647702717,465.2989352798575,240.74238470210423
RAHIMTEXT,Rahim Textile Mills Ltd.,1837070306.0,68.91775418818342,76.19630493822437,0.6836178367202426,1.858934448895079,7.28358750323593,5.18628369873394,11.187823793968699,235.35540997906446,2829243135.0,2.9715563875469164,21.877917752284688,13.87492618084895
RAKCERAMIC,RAK Ceramics (Baneladesh) Limited,9672093224.0,0.8771963537974211,,-0.017645372742621113,1.2769464587060038,1.4835573483144304,46.63952680711822,,32.10512981730476,11315018449.0,1.5345931845528322,,22.50240684675033
RANFOUNDRY,Rangpur Foundry Limited,1442000000.0,,37.172883824983096,30.295718224858206,0.9326413036320442,4.08639479320669,48.09790943732481,48.09791105622541,26.5880251553604,1509434000.0,0.987209322234594,16.023038517056285,15.114256055203942
RDFOOD,Rangpur Dairy and Food Products Limited,1518111542.0,-25.468168371255075,58.805513016845325,,1.132068869153353,1.10831594855105,156.3677272523112,,40.21266524492042,2064342467.0,1.6275264286410098,16.11532212182349,
RECKITTBEN,Reckitt Benckiser (Bangladesh) PLC,16459064206.0,-10.683220259822242,20.74815837800529,,2.862794842244188,26.43439343330281,29.651686878941774,39.40972440879678,13.650021728783395,15439629206.0,2.6926689616297064,14.166359895217067,12.06709079549525
REGENTTEX,Regent Textile Mills Ltd.,604477019.0,20.00000478181933,,,,,,,,,,,
RELIANCE1,Reliance Insurance Mutual Fund Reliance One Units,,,,,,,,,,,,,
RELIANCINS,Reliance Insurance PLC,7277146902.0,29.39002214633966,6.8801687514169405,0.22396389254148014,3.0843588482721573,0.91093116087997,6.751258715281904,7.3753762561348095,,7277146902.0,3.185636163609099,,
RENATA,Renata PLC,49342433573.0,-13.483819251832244,19.39842280422515,,1.0914717737463717,1.3684994084988278,8.50641771645189,28.514599647911865,25.577335487432517,66907389573.0,1.511632336898575,14.754507442038529,10.459291500814082
RENWICKJA,Renwick Janeswar and Co. (BD) Limited,1045599976.0,-11.441023499609033,,,,,,,,,,,
REPUBLIC,Republic Insurance PLC,1728651318.0,17.374997623009612,,,,1.637743562527598,,,,1742619593.0,,,
RINGSHINE,Ring Shine Textiles Ltd.,1751095566.0,-9.7560943030508,,,,,,,,,,,
ROBI,Robi Axiata PLc,165518688131.0,7.665501035432089,17.778281055373117,0.25066525816664464,1.6095206134046138,2.458456778137586,3.554568260828145,6.232284694414895,70.2995913786014,208750257131.0,2.138170673468953,9.734287032598,4.180471778345671
RSRMSTEEL,Ratanpur Steel Re-Rolling Mills Ltd,819631643.0,-33.87096727017775,,,,,,,,,,,
RUNNERAUTO,Runner Automobiles PLC,3542445973.0,17.6470555169173,20.808794660384766,1.203042661901824,0.2960336261975946,0.48214574871776517,,,1.5153610948196214,15284391670.000002,1.285520123694031,7.019226207638427,6.46763981529886
RUPALIBANK,Rupali Bank PLC,8831570615.0,-18.421048223004142,,,0.15449210480352166,0.5596122260348396,0.3362007110379794,0.34145970178215884,,-26649078883.0,,,
RUPALIINS,Rupali Insurance Company Ltd.,1724971790.0,3.7558740491200555,25.949953660797032,0.33569197489931046,2.556036705609203,0.9521615342042776,119.20165372791577,,,1724971790.0,2.578960865164291,,
RUPALILIFE,Rupali Life Insurance Co. Ltd.,2443159048.0,-14.331210659889937,8.433472160194428,,0.9980806232391722,2.7548517791355263,8.238752250134931,,,2446313518.0,1.0483075777687756,,
SAFKOSPINN,Safko Spinning Mills Limited,,,,,,,,,,,,,
SAIFPOWER,SAIF Powertec Ltd.,2617436746.0,-43.333331737720094,,,,,,,,,,,
SAIHAMCOT,Saiham Cotton Mills Ltd.,2901112679.0,32.43243328674306,21.971830985915496,,0.4765852735081244,0.5120907246188798,20.881870011880178,,19.572999295035025,6299703885.0,1.0677485528830855,14.755786542877132,9.105414413392237
SAIHAMTEX,Saiham Textile Mills Ltd.,1693518676.0,33.108111598588934,35.444947209653094,,0.46040536179270714,0.43219126026511717,,,19.587220587807938,4047513970.9999995,1.1305998887777349,19.245531050958327,11.915093384718828
SALAMCRST,S. Alam Cold Rolled Steels Limited,1554263421.0,-23.80952381413406,,,,,,,,,,,
SALVO,Salvo Organic Industries PLC,2028711304.0,27.50000161962428,50.528025995125915,6.129186289553274,0.6661898221411807,1.8809679908842605,5.497615085652845,14.668617509531803,25.857476321115357,2837328106.0,0.9562431773834792,13.009872218578728,8.324938272894483
SAMATALETH,Samata Leather Complex (Pvt.) Ltd.,853691070.0,98.59485143490402,,-1.9613169585174066,10.552479358257445,5.7066131912649105,,,7303.969097555285,853575351.0,10.815413907554126,,
SAMORITA,Samorita Hospital Ltd.,1454119803.0,17.474052576317522,78.85135930328352,0.3406279027099352,3.318483103447104,1.3749859679603642,29.919237952353924,49.89324252084749,27.635753188027397,1405531803.0,3.266364331729308,53.30168308912955,27.69011732424364
SANDHANINS,Shandhani Life Insurance Co.Ltd,2183002721.0,-16.17020951329118,7.710694733595497,0.018506887407264257,0.716682620348808,1.2212480055493509,8.856278334515013,9.623691261469782,,2191508547.0,0.7267793845128677,,
