Symbol,Name,Div per share Annual,Div per share Quarterly,Dividend trailing percent T12M,Dividend yield percent,DPS Growth,Cont Div Payout,Cont Div Growth
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,
OIMEX,Oimex Electrode Ltd.,,0.0,2.27272727272727,,,1.0,0.0
OLYMPIC,Olympic Industries PLC.,3.0,,1.91693290734824,0.0,200.0,16.0,1.0
ONEBANKPLC,One Bank PLC,0.0,0.0,0.0,0.0,-100.0,0.0,0.0
ORIONINFU,Orion Infusion Ltd.,2.0,,0.5420054200542,0.0,66.66666666666667,11.0,2.0
ORIONPHARM,Orion Pharma Ltd.,0.0,0.0,3.26797385620915,0.0,-100.0,0.0,0.0
PADMALIFE,Padma Islami Life Insurance Ltd.,0.0,,0.0,,,0.0,0.0
PADMAOIL,Padma Oil PLC,16.0,,8.83977900552486,0.0,14.285714285714285,14.0,3.0
PARAMOUNT,Paramount Insurance PLC.,1.0,,1.76991150442478,0.0,0.0,4.0,0.0
PDL,Pacific Denims Ltd.,,,0.0,,,0.0,0.0
PENINSULA,The Peninsula Chittagong PLC,,,0.223214285714286,,,0.0,0.0
PEOPLESINS,Peoples Insurance PLC,1.05,,2.53623188405797,0.0,5.000000000000004,5.0,1.0
PF1STMF,Phoenix Finance 1st Mutual Fund Units,,,,,,,
PHARMAID,Pharma Aids Limited.,3.0,,0.517419799931011,0.0,20.0,4.0,2.0
PHENIXINS,Phoenix Insurance PLC,1.0,,3.01204819277108,0.0,-16.666666666666664,5.0,0.0
PHOENIXFIN,Phoenix Finance and Investments Ltd.,0.0,0.0,0.0,,,0.0,0.0
PHPMF1,PHP First Mutual Fund Units 2010-,,,,,,,
PIONEERINS,Pioneer Insurance PLC,2.5,,4.57875457875458,0.0,37.49997112500606,11.0,1.0
PLFSL,Peoples Leasing and Financial Services Ltd.,0.0,0.0,0.0,0.0,,0.0,0.0
POPULAR1MF,Popular Life First Mutual Fund Units 2010-,,,,,,,
POPULARLIF,Popular Life Insurance Co. Ltd.,2.0,,4.01606425702811,0.0,-45.94594594594595,10.0,0.0
POWERGRID,Power Grid Co. of Bangladesh Ltd.,0.0,0.0,0.0,0.0,,0.0,0.0
PRAGATIINS,Pragati Insurance PLC,1.86915903310326,,2.3541045756968,0.0,7.000098066677876,5.0,1.0
PRAGATILIF,Pragati Life Insurance PLC,1.5,,0.628140703517588,0.0,7.1428571428571495,7.0,3.0
PREMIERBAN,The Premier Bank PLC,0.0,0.0,0.0,0.0,-100.0,0.0,0.0
PREMIERCEM,Premier Cement Mills PLC,1.0,,2.55754475703325,0.0,-53.48837209302325,13.0,0.0
PREMIERLEA,Premier Leasing & Finance Limited,0.0,0.0,0.0,0.0,,0.0,0.0
PRIME1ICBA,Prime Bank 1st ICB AMCL Mutual Fund Units,,,,,,,
PRIMEBANK,Prime Bank PLC,1.707317,,5.02152058823529,0.0,-0.00017571398448886234,16.0,0.0
PRIMEFIN,Prime Finance and Investment Ltd.,,,0.0,,,0.0,0.0
PRIMEINSUR,Prime Islami Insurance PLC,1.0,,2.84090909090909,0.0,-16.666666666666664,5.0,0.0
PRIMELIFE,Prime Life Insurance Company Limited,0.0,0.0,0.266666666666667,0.0,-100.0,0.0,0.0
PRIMETEX,Prime Textile Spining Mills Ltd.,,,0.0,,,0.0,0.0
PROGRESLIF,Progressive Life Insurance Co. Ltd.,,,0.544662309368192,,,0.0,0.0
PROVATIINS,Provati Insurance PLC,1.0,,2.97619047619048,0.0,-20.0,4.0,0.0
PTL,Paramount Textile PLC,1.2,,2.34833659491194,0.0,164.000264000264,11.0,1.0
PUBALIBANK,Pubali Bank PLC,0.987654,,2.51952551020408,0.0,-5.062499082005566e-05,16.0,0.0
PURABIGEN,Purabi General Insurance Co. Ltd.,1.0,,4.46428571428571,0.0,0.0,3.0,0.0
